step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
53,19.559495232999325,363.327345,99.0,17681.25,32760.0,192.821,136161.0,3.78225e-05,0.0015129,0.0010297341666666668,0.04118936666666666,5070.91455078125,16892.0,17019.09765625,515475.12890625,0.5,2217.0703125,30444.0546875,99.9,,
55,20.2916148789227,364.361193,88.0,17681.25,32760.0,192.841,135443.0,3.762305555555555e-05,0.001504922222222222,0.0010673572222222223,0.042694288888888876,5070.91455078125,16892.0,17019.34375,515475.12890625,0.5,2217.16015625,30444.0546875,100.5,,
57,21.026395058259368,363.485088,90.0,17681.25,32760.0,192.435,132858.0,3.6905e-05,0.0014762,0.0011042622222222223,0.04417048888888887,5070.91455078125,16892.0,17019.34375,515475.12890625,0.5,2217.171875,30444.0546875,101.3,,
59,21.75884766690433,363.892485,99.0,17681.25,32760.0,192.669,148979.0,4.138305555555556e-05,0.0016553222222222223,0.0011456452777777778,0.045825811111111094,5070.91455078125,16892.0,17019.34375,515475.12890625,0.5,2217.234375,30444.0546875,99.7,,
61,22.48914109170437,363.61541,89.0,17681.25,32760.0,193.099,135408.0,3.7613333333333335e-05,0.0015045333333333333,0.0011832586111111111,0.04733034444444443,5070.91455078125,16892.0,17019.34375,515475.12890625,0.5,2217.28515625,30445.0546875,98.6,,
63,23.22143883816898,363.490357,91.0,17681.25,32760.0,192.728,133125.0,3.6979166666666667e-05,0.0014791666666666666,0.0012202377777777778,0.04880951111111109,5070.91455078125,16892.0,17019.34375,515475.12890625,0.5,2217.31640625,30445.0546875,101.0,,
65,23.952815299853683,364.078948,98.0,17681.25,32760.0,192.551,149650.0,4.1569444444444444e-05,0.0016627777777777778,0.0012618072222222222,0.05047228888888887,5070.91455078125,16892.0,17019.34375,515475.12890625,0.5,2217.31640625,30445.0546875,99.6,,
67,24.685958119109273,363.778063,88.0,17681.25,32760.0,192.405,135673.0,3.768694444444444e-05,0.0015074777777777776,0.0012994941666666666,0.05197976666666665,5070.91455078125,16892.0,17019.578125,515475.12890625,0.5,2217.36328125,30445.0546875,99.8,,
69,25.41672746092081,363.284334,93.0,17681.25,32760.0,192.581,133862.0,3.7183888888888886e-05,0.0014873555555555554,0.0013366780555555554,0.053467122222222205,5070.91455078125,16892.0,17019.578125,515475.12890625,0.5,2217.390625,30445.0546875,99.9,,
71,26.14942437596619,364.276841,97.0,17681.25,32760.0,192.799,150366.0,4.176833333333333e-05,0.0016707333333333334,0.0013784463888888887,0.05513785555555554,5070.91455078125,16892.0,17019.82421875,515475.12890625,0.5,2217.44140625,30445.0546875,100.4,,
73,26.88420001603663,363.510958,88.0,17681.25,32760.0,192.639,135597.0,3.7665833333333335e-05,0.0015066333333333334,0.0014161122222222221,0.05664448888888887,5070.91455078125,16892.0,17019.82421875,515475.12890625,0.5,2217.44140625,30445.0546875,101.3,,
75,27.615957090631127,363.863614,93.0,17681.25,32760.0,192.622,133948.0,3.7207777777777775e-05,0.001488311111111111,0.00145332,0.058132799999999984,5070.91455078125,16892.0,17019.82421875,515475.12890625,0.5,2217.52734375,30445.0546875,99.8,,
77,28.346448989585042,363.821964,97.0,17681.25,32760.0,193.034,150869.0,4.190805555555556e-05,0.0016763222222222222,0.0014952280555555555,0.059809122222222205,5070.91455078125,16892.0,17019.82421875,515475.12890625,0.5,2217.5546875,30445.0546875,98.6,,
79,29.07789813168347,363.829493,88.0,17681.25,32760.0,193.218,134080.0,3.724444444444445e-05,0.0014897777777777778,0.0015324725,0.06129889999999998,5070.91455078125,16892.0,17019.8203125,515475.12890625,0.5,2217.5546875,30445.0546875,99.8,,
81,29.808945767581463,363.881664,94.0,17681.25,32760.0,192.945,135109.0,3.753027777777778e-05,0.001501211111111111,0.0015700027777777778,0.0628001111111111,5070.91455078125,16892.0,17019.8203125,515475.12890625,0.5,2217.61328125,30445.0546875,100.7,,
83,30.544489812105894,364.065188,96.0,17681.25,32760.0,192.705,151006.0,4.194611111111111e-05,0.0016778444444444443,0.001611948888888889,0.06447795555555555,5070.91455078125,16892.0,17020.06640625,515475.12890625,0.5,2217.69140625,30445.0546875,99.8,,
85,31.275257671251893,363.399256,88.0,17681.25,32760.0,193.179,133870.0,3.718611111111111e-05,0.0014874444444444444,0.001649135,0.0659654,5070.91455078125,16892.0,17020.53125,515475.12890625,0.6,2217.6953125,30445.0546875,101.3,,
87,32.006530191749334,363.6627,95.0,17681.25,32760.0,193.371,135851.0,3.773638888888889e-05,0.0015094555555555556,0.001686871388888889,0.06747485555555555,5070.91455078125,16892.0,17020.53125,515475.12890625,0.5,2217.75390625,30445.0546875,99.8,,
89,32.73793498240411,363.65798,95.0,17681.25,32760.0,192.925,149349.0,4.1485833333333335e-05,0.0016594333333333335,0.0017283572222222222,0.06913428888888888,5070.91455078125,16892.0,17020.53125,515475.12890625,0.5,2217.8046875,30445.0546875,99.8,,
91,33.47016092762351,364.403053,88.0,17681.25,32760.0,193.051,133048.0,3.6957777777777776e-05,0.0014783111111111111,0.001765315,0.0706126,5070.91455078125,16892.0,17020.53125,515475.12890625,0.5,2217.8359375,30445.0546875,99.5,,
93,34.202622547745705,363.473357,96.0,17681.25,32760.0,192.902,137136.0,3.809333333333333e-05,0.0015237333333333331,0.0018034083333333332,0.07213633333333333,5070.91455078125,16892.0,17020.53125,515475.12890625,0.5,2217.890625,30445.0546875,101.3,,
95,34.933907898142934,363.183383,94.0,17681.25,32760.0,193.035,148922.0,4.1367222222222224e-05,0.001654688888888889,0.0018447755555555554,0.07379102222222222,5070.91455078125,16892.0,17020.53125,515475.12890625,0.5,2217.890625,30445.0546875,99.8,,
97,35.66459090821445,364.365013,88.0,17681.25,32760.0,193.664,134421.0,3.733916666666667e-05,0.0014935666666666667,0.0018821147222222222,0.07528458888888889,5070.91455078125,16892.0,17020.77734375,515475.12890625,0.5,2217.9765625,30445.0546875,99.9,,
99,36.396422075107694,363.62165,97.0,17681.25,32760.0,193.636,136753.0,3.798694444444444e-05,0.0015194777777777777,0.0019201016666666665,0.07680406666666667,5070.91455078125,16892.0,17020.77734375,515475.12890625,0.5,2218.03125,30445.0546875,99.8,,
101,37.12805997207761,364.633657,92.0,17681.25,32760.0,193.056,148625.0,4.128472222222222e-05,0.0016513888888888889,0.001961386388888889,0.07845545555555555,5070.91455078125,16892.0,17020.7578125,515475.12890625,0.5,2218.0625,30445.0546875,99.4,,
103,37.86179354414344,363.819294,88.0,17681.25,32760.0,192.967,135188.0,3.755222222222222e-05,0.0015020888888888889,0.001998938611111111,0.07995754444444444,5070.91455078125,16892.0,17020.7578125,515475.12890625,0.5,2218.1015625,30445.0546875,101.2,,
105,38.59259109571576,363.114981,98.0,17681.25,32760.0,193.445,136660.0,3.7961111111111114e-05,0.0015184444444444447,0.002036899722222222,0.08147598888888889,5070.91455078125,16892.0,17021.00390625,515475.12890625,0.5,2218.1015625,30445.0546875,99.9,,
107,39.32343701645732,363.496308,91.0,17681.25,32760.0,193.695,149312.0,4.147555555555556e-05,0.0016590222222222224,0.0020783752777777777,0.08313501111111112,5070.91455078125,16892.0,17021.00390625,515475.12890625,0.5,2218.140625,30445.0546875,99.9,,
